,name,cupping,Body,Brightness,Clean Cup,Complexity,Dry Fragrance,Finish,Flavor,Sweetness,Uniformity,Wet Aroma
16,Burundi Gaterama Agahore Station,"{'Body': '8.7', 'Brightness': '8.7', 'Clean Cup': '8.5', 'Complexity': '9', 'Dry Fragrance': '8.7', 'Finish': '9', 'Flavor': '9', 'Sweetness': '9', 'Uniformity': '8.2', 'Wet Aroma': '9'}",8.7,8.7,8.5,9.0,8.7,9.0,9.0,9.0,8.2,9.0
17,Burundi Kabarore Commune Yandaro,"{'Body': '8.8', 'Brightness': '8.8', 'Clean Cup': '9', 'Complexity': '9', 'Dry Fragrance': '8.8', 'Finish': '9', 'Flavor': '9.1', 'Sweetness': '9', 'Uniformity': '8.3', 'Wet Aroma': '9'}",8.8,8.8,9.0,9.0,8.8,9.0,9.1,9.0,8.3,9.0
18,Burundi Kayanza Gahahe,"{'Body': '8.7', 'Brightness': '8.9', 'Clean Cup': '9', 'Complexity': '9.2', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '8.3', 'Wet Aroma': '9.2'}",8.7,8.9,9.0,9.2,9.0,9.0,9.3,9.0,8.3,9.2
19,Burundi Yeast Fermentation Yandaro,"{'Body': '9', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.2', 'Dry Fragrance': '8.8', 'Finish': '9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '8.3', 'Wet Aroma': '9'}",9.0,9.0,9.0,9.2,8.8,9.0,9.2,9.0,8.3,9.0
20,Cameroon Caplami Java Cultivar,"{'Body': '9', 'Brightness': '8', 'Clean Cup': '7.4', 'Complexity': '8.8', 'Dry Fragrance': '7.8', 'Finish': '7.7', 'Flavor': '8.3', 'Sweetness': '8.3', 'Uniformity': '8', 'Wet Aroma': '8.3'}",9.0,8.0,7.4,8.8,7.8,7.7,8.3,8.3,8.0,8.3
21,Colombia Buesaco Don Nectario,"{'Body': '9.2', 'Brightness': '8.7', 'Clean Cup': '8.3', 'Complexity': '8.8', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.8', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",9.2,8.7,8.3,8.8,8.5,8.5,8.8,8.7,8.5,8.7
22,Colombia Buesaco EA Decaf,"{'Body': '8', 'Brightness': '8.5', 'Clean Cup': '8', 'Complexity': '8.5', 'Dry Fragrance': '8.3', 'Finish': '7.8', 'Flavor': '8.7', 'Sweetness': '8.3', 'Uniformity': '9.5', 'Wet Aroma': '8.5'}",8.0,8.5,8.0,8.5,8.3,7.8,8.7,8.3,9.5,8.5
23,Colombia Buesaco Productores Aliados,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.8', 'Complexity': '8.5', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",9.0,8.5,8.8,8.5,8.5,8.5,8.7,8.7,8.5,8.7
24,Colombia Caicedo Don Ruben,"{'Body': '8.7', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9', 'Dry Fragrance': '8.8', 'Finish': '8.8', 'Flavor': '9.2', 'Sweetness': '8.8', 'Uniformity': '8.2', 'Wet Aroma': '9'}",8.7,9.0,9.0,9.0,8.8,8.8,9.2,8.8,8.2,9.0
25,Colombia Coop de Caldas EA Decaf,"{'Body': '8.2', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8.7', 'Dry Fragrance': '8.5', 'Finish': '8.3', 'Flavor': '8.8', 'Sweetness': '8.5', 'Uniformity': '9', 'Wet Aroma': '8.7'}",8.2,8.6,8.5,8.7,8.5,8.3,8.8,8.5,9.0,8.7
26,Colombia Cresta El Hato,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.3', 'Complexity': '8.5', 'Dry Fragrance': '8.5', 'Finish': '8.2', 'Flavor': '8.5', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.8'}",9.0,8.5,8.3,8.5,8.5,8.2,8.5,8.7,8.5,8.8
27,Colombia Honey Process Aponte,"{'Body': '9', 'Brightness': '8.4', 'Clean Cup': '8.2', 'Complexity': '9.1', 'Dry Fragrance': '8.8', 'Finish': '8.7', 'Flavor': '9', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.9'}",9.0,8.4,8.2,9.1,8.8,8.7,9.0,8.7,8.5,8.9
28,Colombia Honey Process Ciudad Nube,"{'Body': '9', 'Brightness': '8.6', 'Clean Cup': '8.4', 'Complexity': '8.8', 'Dry Fragrance': '8.6', 'Finish': '8.6', 'Flavor': '8.8', 'Sweetness': '8.7', 'Uniformity': '8.2', 'Wet Aroma': '8.7'}",9.0,8.6,8.4,8.8,8.6,8.6,8.8,8.7,8.2,8.7
29,Colombia Honey Process El Páramo,"{'Body': '9', 'Brightness': '8.2', 'Clean Cup': '8.2', 'Complexity': '8.8', 'Dry Fragrance': '8.4', 'Finish': '8.2', 'Flavor': '8.6', 'Sweetness': '8.7', 'Uniformity': '8', 'Wet Aroma': '8.7'}",9.0,8.2,8.2,8.8,8.4,8.2,8.6,8.7,8.0,8.7
30,Colombia Honey Process Libardo Gómez,"{'Body': '9', 'Brightness': '8.7', 'Clean Cup': '8.4', 'Complexity': '9.1', 'Dry Fragrance': '8.7', 'Finish': '8.7', 'Flavor': '9', 'Sweetness': '8.7', 'Uniformity': '8.3', 'Wet Aroma': '8.9'}",9.0,8.7,8.4,9.1,8.7,8.7,9.0,8.7,8.3,8.9
31,Colombia Inzá Anibal Pillimue,"{'Body': '8.7', 'Brightness': '8.7', 'Clean Cup': '9', 'Complexity': '9.2', 'Dry Fragrance': '8.9', 'Finish': '8.8', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.2'}",8.7,8.7,9.0,9.2,8.9,8.8,9.2,9.0,9.0,9.2
32,Colombia Inzá Las Estrellas,"{'Body': '9.5', 'Brightness': '8.8', 'Clean Cup': '8.5', 'Complexity': '8.8', 'Dry Fragrance': '8.8', 'Finish': '8.7', 'Flavor': '9', 'Sweetness': '8.8', 'Uniformity': '8.5', 'Wet Aroma': '9'}",9.5,8.8,8.5,8.8,8.8,8.7,9.0,8.8,8.5,9.0
33,Colombia Inzá Rafael Rivas,"{'Body': '9.2', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.3', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.5', 'Sweetness': '8.7', 'Uniformity': '8.3', 'Wet Aroma': '8.7'}",9.2,8.5,8.5,8.3,8.5,8.5,8.5,8.7,8.3,8.7
34,Colombia Inzá Rio Paez,"{'Body': '9', 'Brightness': '8.3', 'Clean Cup': '8.5', 'Complexity': '8.5', 'Dry Fragrance': '8.4', 'Finish': '8.3', 'Flavor': '8.6', 'Sweetness': '8.6', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",9.0,8.3,8.5,8.5,8.4,8.3,8.6,8.6,8.5,8.7
35,Colombia Inzá Rio Páez,"{'Body': '8.9', 'Brightness': '8.7', 'Clean Cup': '8.4', 'Complexity': '8.7', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.6', 'Uniformity': '8.3', 'Wet Aroma': '8.7'}",8.9,8.7,8.4,8.7,8.5,8.5,8.7,8.6,8.3,8.7
36,Colombia Inzá Vereda Guanacas,"{'Body': '9.3', 'Brightness': '8.3', 'Clean Cup': '8.4', 'Complexity': '8.7', 'Dry Fragrance': '8.7', 'Finish': '8.7', 'Flavor': '8.7', 'Sweetness': '8.8', 'Uniformity': '8.5', 'Wet Aroma': '8.8'}",9.3,8.3,8.4,8.7,8.7,8.7,8.7,8.8,8.5,8.8
37,Colombia Inzá Vereda San Antonio,"{'Body': '9', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.7', 'Dry Fragrance': '8.6', 'Finish': '8.6', 'Flavor': '8.8', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",9.0,8.5,8.5,8.7,8.6,8.6,8.8,9.0,8.5,8.7
38,Colombia Inzá Veredas Vecinas,"{'Body': '8.7', 'Brightness': '8.5', 'Clean Cup': '8.3', 'Complexity': '8.7', 'Dry Fragrance': '8.5', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.6', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",8.7,8.5,8.3,8.7,8.5,8.5,8.7,8.6,8.5,8.7
39,Colombia Nariño Rio Juanambú,"{'Body': '8.8', 'Brightness': '8.5', 'Clean Cup': '8.5', 'Complexity': '8.7', 'Dry Fragrance': '8.4', 'Finish': '8.5', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",8.8,8.5,8.5,8.7,8.4,8.5,8.7,8.7,8.5,8.7
40,Colombia Nariño Vereda Pompeya,"{'Body': '8.7', 'Brightness': '8.6', 'Clean Cup': '8.6', 'Complexity': '8.7', 'Dry Fragrance': '8.6', 'Finish': '8.6', 'Flavor': '8.7', 'Sweetness': '8.7', 'Uniformity': '8.5', 'Wet Aroma': '8.8'}",8.7,8.6,8.6,8.7,8.6,8.6,8.7,8.7,8.5,8.8
41,Colombia Pavón Finca Los Palomos,"{'Body': '9.3', 'Brightness': '8.7', 'Clean Cup': '8.5', 'Complexity': '9.2', 'Dry Fragrance': '9', 'Finish': '8.9', 'Flavor': '9.2', 'Sweetness': '9', 'Uniformity': '8.5', 'Wet Aroma': '9.2'}",9.3,8.7,8.5,9.2,9.0,8.9,9.2,9.0,8.5,9.2
42,Colombia Rio Chiquito Don Luis,"{'Body': '8.6', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8.8', 'Dry Fragrance': '8.6', 'Finish': '8.5', 'Flavor': '8.8', 'Sweetness': '8.8', 'Uniformity': '8.3', 'Wet Aroma': '8.7'}",8.6,8.6,8.5,8.8,8.6,8.5,8.8,8.8,8.3,8.7
43,Colombia Tolima China Alta,"{'Body': '9.3', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8.9', 'Dry Fragrance': '8.6', 'Finish': '8.6', 'Flavor': '9', 'Sweetness': '8.8', 'Uniformity': '8.5', 'Wet Aroma': '8.7'}",9.3,8.6,8.5,8.9,8.6,8.6,9.0,8.8,8.5,8.7
44,Colombia Urrao Heirloom Caturra,"{'Body': '8.5', 'Brightness': '9', 'Clean Cup': '9', 'Complexity': '9.1', 'Dry Fragrance': '9', 'Finish': '9', 'Flavor': '9.3', 'Sweetness': '9', 'Uniformity': '9', 'Wet Aroma': '9.2'}",8.5,9.0,9.0,9.1,9.0,9.0,9.3,9.0,9.0,9.2
45,Colombia Vereda San Antonio,"{'Body': '9', 'Brightness': '8.6', 'Clean Cup': '8.5', 'Complexity': '8.7', 'Dry Fragrance': '8.7', 'Finish': '8.6', 'Flavor': '8.8', 'Sweetness': '8.8', 'Uniformity': '8.5', 'Wet Aroma': '8.8'}",9.0,8.6,8.5,8.7,8.7,8.6,8.8,8.8,8.5,8.8
