,name,flavors
22,Colombia Buesaco EA Decaf,"{'Berry': '0', 'Body': '3', 'Caramel': '3', 'Citrus': '0', 'Cocoa': '2', 'Floral': '0', 'Fruits': '1', 'Honey': '0', 'Nuts': '0', 'Rustic': '0.5', 'Spice': '1.5', 'Sugars': '1.5'}"
23,Colombia Buesaco Productores Aliados,"{'Berry': '1', 'Body': '4', 'Caramel': '3.5', 'Citrus': '1.5', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '1', 'Sugars': '3.5'}"
24,Colombia Caicedo Don Ruben,"{'Berry': '2.5', 'Body': '3.5', 'Caramel': '0', 'Citrus': '2.5', 'Cocoa': '3', 'Floral': '0', 'Fruits': '2.5', 'Honey': '3', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3'}"
25,Colombia Coop de Caldas EA Decaf,"{'Berry': '0', 'Body': '3', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '3', 'Floral': '0', 'Fruits': '2', 'Honey': '0', 'Nuts': '0', 'Rustic': '0', 'Spice': '1', 'Sugars': '3.5'}"
26,Colombia Cresta El Hato,"{'Berry': '0', 'Body': '4', 'Caramel': '2', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '0', 'Honey': '1', 'Nuts': '0', 'Rustic': '0', 'Spice': '2', 'Sugars': '3.5'}"
27,Colombia Honey Process Aponte,"{'Berry': '2', 'Body': '4', 'Caramel': '0', 'Citrus': '0', 'Cocoa': '3.5', 'Floral': '0', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '2', 'Sugars': '3'}"
28,Colombia Honey Process Ciudad Nube,"{'Berry': '2.5', 'Body': '4', 'Caramel': '0', 'Citrus': '2', 'Cocoa': '2.5', 'Floral': '0', 'Fruits': '3', 'Honey': '1', 'Nuts': '0', 'Rustic': '1', 'Spice': '1', 'Sugars': '3'}"
29,Colombia Honey Process El Páramo,"{'Berry': '1.5', 'Body': '4', 'Caramel': '1', 'Citrus': '0', 'Cocoa': '4', 'Floral': '0', 'Fruits': '1.5', 'Honey': '1', 'Nuts': '0', 'Rustic': '1.5', 'Spice': '0', 'Sugars': '3.5'}"
30,Colombia Honey Process Libardo Gómez,"{'Berry': '3', 'Body': '4', 'Caramel': '0', 'Citrus': '1', 'Cocoa': '2', 'Floral': '0', 'Fruits': '3', 'Honey': '0', 'Nuts': '0', 'Rustic': '1', 'Spice': '1', 'Sugars': '3'}"
31,Colombia Inzá Anibal Pillimue,"{'Berry': '0', 'Body': '3.5', 'Caramel': '2.5', 'Citrus': '0', 'Cocoa': '0', 'Floral': '1.5', 'Fruits': '2.5', 'Honey': '2', 'Nuts': '0', 'Rustic': '0', 'Spice': '0', 'Sugars': '4'}"
